node_id,browse_name,category,member_lines,reference_lines
i=32439,SyntaxReferenceEntryType,Data Access Quantity Syntax Reference,9,27
i=15744,TemporaryFileTransferType,Base Info TemporaryFileTransferType Base,296,70
i=12880,TimeString,Base Info Date DataTypes,0,0
i=8912,TimeZoneDataType,Base Info LocalTime,0,0
i=52,ToState,Base Info Finite State Machine Instance,0,0
i=19747,TraceContextDataType,LogObject TraceContext,0,0
i=2311,TransitionEventType,Base Info Finite State Machine Instance,57,54
i=2310,TransitionType,Base Info Finite State Machine Instance,9,27
i=2762,TransitionVariableType,Base Info State Machine Instance,45,36
i=31918,TrimmedString,Base Info TrimmedString,0,0
i=2373,TwoStateDiscreteType,Data Access TwoState,18,27
i=5,UInt16,Base Info Base Types,0,0
i=7,UInt32,Base Info Base Types,0,0
i=9,UInt64,Base Info Base Types,0,0
i=28,UInteger,Base Info Base Types,0,0
i=12756,Union,Base Info OptionSet DataType,0,0
i=32442,UnitType,Data Access Quantities Base,27,36
i=24107,UnsignedRationalNumber,Base Info Rational Number,0,0
i=17600,UriDictionaryEntryType,Address Space Dictionary URI,0,0
i=23751,UriString,Base Info UriString,0,0
i=19814,UsesDataTypeRefinement,Base Info DataTypeRefinement,0,0
i=19818,UsesSubtypeRestriction,Base Info SubtypeRestriction,0,0
i=294,UtcTime,Base Info Base Types,0,0
i=25255,Utilizes,Base Info Utilizes,0,0
i=18807,Vector,Base Info Spatial Data,0,0
i=17714,VectorType,Base Info Spatial Data,9,27
i=12080,XVType,Data Access XYArrayItemType,0,0
i=12038,XYArrayItemType,Data Access XYArrayItemType,9,27
i=16,XmlElement,Base Info Base Types,0,0
i=12029,YArrayItemType,Data Access YArrayItemType,9,27
